Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,3,0,4,4
2,2,4,9,3,12
2,3,6,12,3,15
3,1,3,7,4,11
3,2,5,14,2,16
3,3,8,16,2,18
4,1,1,3,4,7
4,2,5,9,5,14
4,3,6,15,3,18
5,1,3,4,3,7
5,2,5,8,1,9
5,3,7,9,4,13
6,1,2,4,5,9
6,2,4,12,2,14
6,3,7,14,3,17
7,1,2,2,2,4
7,2,4,5,4,9
7,3,8,9,3,12
8,1,1,0,3,3
8,2,5,3,5,8
8,3,6,8,3,11
9,1,1,7,2,9
9,2,4,14,1,15
9,3,9,15,5,20
10,1,1,9,3,12
10,2,4,15,3,18
10,3,6,18,4,22
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,2,9,5,14
12,2,5,16,4,20
12,3,7,20,4,24
