Job,Operation,Machine,Start,Duration,End
1,1,1,9,2,11
1,2,4,15,4,19
1,3,8,19,2,21
2,1,2,4,5,9
2,2,4,9,3,12
2,3,9,12,4,16
3,1,3,8,4,12
3,2,5,14,2,16
3,3,8,16,2,18
4,1,2,9,3,12
4,2,5,16,5,21
4,3,6,21,3,24
5,1,1,2,4,6
5,2,5,8,1,9
5,3,6,11,3,14
6,1,3,12,4,16
6,2,4,19,2,21
6,3,7,21,3,24
7,1,2,2,2,4
7,2,4,5,4,9
7,3,7,9,4,13
8,1,3,4,4,8
8,2,5,9,5,14
8,3,6,14,3,17
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,6,3,9
10,2,4,12,3,15
10,3,6,17,4,21
11,1,2,0,2,2
11,2,4,2,3,5
11,3,8,5,6,11
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
