Job,Operation,Machine,Start,Duration,End
1,1,1,10,2,12
1,2,4,17,4,21
1,3,6,21,2,23
2,1,1,6,4,10
2,2,4,11,3,14
2,3,9,14,4,18
3,1,3,12,4,16
3,2,5,19,2,21
3,3,8,21,2,23
4,1,2,4,3,7
4,2,5,9,5,14
4,3,6,14,3,17
5,1,1,2,4,6
5,2,5,8,1,9
5,3,6,11,3,14
6,1,3,4,4,8
6,2,4,9,2,11
6,3,7,13,3,16
7,1,2,2,2,4
7,2,4,5,4,9
7,3,7,9,4,13
8,1,2,7,5,12
8,2,5,14,5,19
8,3,7,19,3,22
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,3,8,4,12
10,2,4,14,3,17
10,3,6,17,4,21
11,1,2,0,2,2
11,2,4,2,3,5
11,3,8,5,6,11
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
